shard_id,stage,kind,arm,image,seed,rho_bar_or_b,nu,pattern_or_cert,cell_id,descriptive
M1_CERT_15,M1_CERT,cert,CERT,m1_chirp_3,0,0.6,200.0,m1_cert,M1_CERT_15_c0002,
M1_CERT_15,M1_CERT,cert,CERT,m1_chirp_3,0,0.05,2000.0,m1_cert,M1_CERT_15_c0003,
M1_CERT_15,M1_CERT,cert,CERT,m1_chirp_3,0,0.6,2000.0,m1_cert,M1_CERT_15_c0004,
M1_CERT_15,M1_CERT,cert,CERT,m1_glyph_2,3,0.05,200.0,m1_cert,M1_CERT_15_c0005,
M1_CERT_15,M1_CERT,cert,CERT,m1_glyph_2,3,0.6,200.0,m1_cert,M1_CERT_15_c0006,
M1_CERT_15,M1_CERT,cert,CERT,m1_glyph_2,3,0.05,2000.0,m1_cert,M1_CERT_15_c0007,
M1_CERT_15,M1_CERT,cert,CERT,m1_glyph_2,3,0.6,2000.0,m1_cert,M1_CERT_15_c0008,
M1_CERT_15,M1_CERT,cert,CERT,m1_microtexture_2,1,0.05,200.0,m1_cert,M1_CERT_15_c0009,
M1_CERT_15,M1_CERT,cert,CERT,m1_microtexture_2,1,0.6,200.0,m1_cert,M1_CERT_15_c0010,
M1_CERT_15,M1_CERT,cert,CERT,m1_microtexture_2,1,0.05,2000.0,m1_cert,M1_CERT_15_c0011,
M1_CERT_15,M1_CERT,cert,CERT,m1_microtexture_2,1,0.6,2000.0,m1_cert,M1_CERT_15_c0012,
M1_CERT_16,M1_CERT,cert,CERT,m1_chirp_3,1,0.05,200.0,m1_cert,M1_CERT_16_c0001,
M1_CERT_16,M1_CERT,cert,CERT,m1_chirp_3,1,0.6,200.0,m1_cert,M1_CERT_16_c0002,
